Radius: 0 | Average Distance: 1663.36
Radius: 5 | Average Distance: 1663.31
Radius: 10 | Average Distance: 1663.23
Radius: 15 | Average Distance: 1663.15
Radius: 20 | Average Distance: 1663.04
Radius: 25 | Average Distance: 1662.9
Radius: 30 | Average Distance: 1662.71
Radius: 35 | Average Distance: 1662.5
Radius: 40 | Average Distance: 1662.25
Radius: 45 | Average Distance: 1661.99
Radius: 50 | Average Distance: 1661.7
Radius: 55 | Average Distance: 1661.4
Radius: 60 | Average Distance: 1661.11
Radius: 65 | Average Distance: 1660.8
Radius: 70 | Average Distance: 1660.48
Radius: 75 | Average Distance: 1660.11
Radius: 80 | Average Distance: 1659.72
Radius: 85 | Average Distance: 1659.29
Radius: 90 | Average Distance: 1658.85
Radius: 95 | Average Distance: 1658.36
Radius: 100 | Average Distance: 1657.85
Radius: 105 | Average Distance: 1657.33
Radius: 110 | Average Distance: 1656.78
Radius: 115 | Average Distance: 1656.23
Radius: 120 | Average Distance: 1655.66
Radius: 125 | Average Distance: 1655.06
Radius: 130 | Average Distance: 1654.42
Radius: 135 | Average Distance: 1653.77
Radius: 140 | Average Distance: 1653.06
Radius: 145 | Average Distance: 1652.31
Radius: 150 | Average Distance: 1651.52
Radius: 155 | Average Distance: 1650.7
Radius: 160 | Average Distance: 1649.82
Radius: 165 | Average Distance: 1648.9
Radius: 170 | Average Distance: 1647.94
Radius: 175 | Average Distance: 1646.92
Radius: 180 | Average Distance: 1645.89
Radius: 185 | Average Distance: 1644.83
Radius: 190 | Average Distance: 1643.73
Radius: 195 | Average Distance: 1642.61
Radius: 200 | Average Distance: 1641.49
Radius: 205 | Average Distance: 1640.32
Radius: 210 | Average Distance: 1639.12
Radius: 215 | Average Distance: 1637.89
Radius: 220 | Average Distance: 1636.64
Radius: 225 | Average Distance: 1635.35
Radius: 230 | Average Distance: 1634.03
Radius: 235 | Average Distance: 1632.68
Radius: 240 | Average Distance: 1631.3
Radius: 245 | Average Distance: 1629.92
Radius: 250 | Average Distance: 1628.51
Radius: 255 | Average Distance: 1627.06
Radius: 260 | Average Distance: 1625.6
Radius: 265 | Average Distance: 1624.1
Radius: 270 | Average Distance: 1622.59
Radius: 275 | Average Distance: 1621.07
Radius: 280 | Average Distance: 1619.54
Radius: 285 | Average Distance: 1617.98
Radius: 290 | Average Distance: 1616.39
Radius: 295 | Average Distance: 1614.79
Radius: 300 | Average Distance: 1613.18
Radius: 305 | Average Distance: 1611.55
Radius: 310 | Average Distance: 1609.92
Radius: 315 | Average Distance: 1608.29
Radius: 320 | Average Distance: 1606.65
Radius: 325 | Average Distance: 1604.97
Radius: 330 | Average Distance: 1603.29
Radius: 335 | Average Distance: 1601.6
Radius: 340 | Average Distance: 1599.88
Radius: 345 | Average Distance: 1598.14
Radius: 350 | Average Distance: 1596.4
Radius: 355 | Average Distance: 1594.63
Radius: 360 | Average Distance: 1592.86
Radius: 365 | Average Distance: 1591.06
Radius: 370 | Average Distance: 1589.25
Radius: 375 | Average Distance: 1587.43
Radius: 380 | Average Distance: 1585.59
Radius: 385 | Average Distance: 1583.75
Radius: 390 | Average Distance: 1581.89
Radius: 395 | Average Distance: 1580
Radius: 400 | Average Distance: 1578.08
Radius: 405 | Average Distance: 1576.14
Radius: 410 | Average Distance: 1574.2
Radius: 415 | Average Distance: 1572.26
Radius: 420 | Average Distance: 1570.31
Radius: 425 | Average Distance: 1568.34
Radius: 430 | Average Distance: 1566.37
Radius: 435 | Average Distance: 1564.38
Radius: 440 | Average Distance: 1562.38
Radius: 445 | Average Distance: 1560.35
Radius: 450 | Average Distance: 1558.31
Radius: 455 | Average Distance: 1556.25
Radius: 460 | Average Distance: 1554.18
Radius: 465 | Average Distance: 1552.11
Radius: 470 | Average Distance: 1550.04
Radius: 475 | Average Distance: 1547.97
Radius: 480 | Average Distance: 1545.9
Radius: 485 | Average Distance: 1543.83
Radius: 490 | Average Distance: 1541.74
Radius: 495 | Average Distance: 1539.62
Radius: 500 | Average Distance: 1537.49
Radius: 505 | Average Distance: 1535.34
Radius: 510 | Average Distance: 1533.18
Radius: 515 | Average Distance: 1531
Radius: 520 | Average Distance: 1528.82
Radius: 525 | Average Distance: 1526.62
Radius: 530 | Average Distance: 1524.41
